,dob,photo_taken,full_path,gender,name,face_location,face_score,second_face_score,date_of_birth,age
0,723671,2009,['17/10000217_1981-05-05_2009.jpg'],1.0,['Sami Jauhojärvi'],[[111.29109473 111.29109473 252.66993082 252.66993082]],4.3009623883308095,,1981,28
2,711677,2008,['12/100012_1948-07-03_2008.jpg'],1.0,['Marc Okrand'],[[113.52 169.84 366.08 422.4 ]],4.329328832406529,,1948,60
4,720044,2012,['16/10002116_1971-05-31_2012.jpg'],0.0,['Diana Damrau'],[[171.61031405  75.5745124  266.76611571 170.73031405]],3.408442415222501,,1971,41
5,716189,2012,['02/10002702_1960-11-09_2012.jpg'],0.0,['Krista Tippett'],[[274.7656324   57.77009008 376.88699455 159.89145224]],4.748056377951486,,1960,52
6,707745,1971,['41/10003541_1937-09-27_1971.jpg'],1.0,['Bernie Whitebear'],[[ 79.35580189  26.65993396 197.60950472 144.91363679]],4.1848283121533445,,1937,34
10,697114,1950,['99/10004299_1908-08-19_1950.jpg'],1.0,['Carl Greenberg'],[[107.58644628 107.58644628 298.77804959 298.77804959]],4.526657044651478,,1908,42
11,706177,1969,['56/1000456_1933-06-12_1969.jpg'],1.0,['Eddie Adams'],[[240.24  71.28 366.08 197.12]],5.5518409885255,,1933,36
12,725873,2010,['82/10004882_1987-05-16_2010.jpg'],1.0,['Viktor Pfeifer'],[[ 75.258  96.57  122.544 143.856]],3.9754782597283795,,1987,23
15,723643,2006,['47/10005947_1981-04-07_2006.jpg'],0.0,['Sharka Blue'],[[113.52 141.68 366.08 394.24]],4.143016079572957,,1981,25
17,720853,2010,['50/10006850_1973-08-17_2010.jpg'],1.0,['David Bromstad'],[[130.93069969  75.19468553 297.25874214 241.52272799]],3.242851859571786,,1973,37
19,705106,2008,['81/1000781_1930-07-07_2008.jpg'],1.0,['Theodore Edgar McCarrick'],[[126.47169334  28.58548741 251.70738669 153.82118075]],3.680456090252123,,1930,78
21,718880,2010,['97/100097_1968-03-23_2010.jpg'],1.0,['Damon Albarn'],[[ 87.1879432   74.81623703 197.94729874 185.57559257]],4.297714671315127,,1968,42
23,723576,2014,['31/1001231_1981-01-30_2014.jpg'],1.0,['Peter Crouch'],[[148.22336339  78.88531003 225.34867342 156.01062006]],4.028333302478682,,1981,33
24,724365,2011,['32/10012532_1983-03-30_2011.jpg'],0.0,['Britta Johansson Norgren'],[[117.0865411   91.18597641 233.1050822  207.20451751]],4.585282807144463,,1983,28
